,player_id,season,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,ppr_sh,name,position,team
43,00-0021547,2014,69,98,821.0,12,913.0,251.0,44.0,46.28572143361985,0,23.162373647232226,2.737824628447806,2.9435031548715727,223.1,16,0.17073170731707318,0.1862885125484595,0.1302542812662169,0.4051283710143774,0.19110800744878959,0.3870967741935484,0.205607476635514,0.22857142857142856,0.15709718760122243,Antonio Gates,TE,FA
44,00-0021547,2015,56,85,630.0,5,696.0,239.0,33.0,22.314243226265525,0,10.957601081002897,2.012525979926312,2.133249203533857,149.0,11,0.183585313174946,0.19387186629526462,0.14192399049881235,0.4304754627986307,0.19638403990024939,0.2777777777777778,0.21153846153846154,0.21839080459770116,0.1488333066964999,Antonio Gates,TE,FA
45,00-0021547,2016,53,93,548.0,7,769.0,188.0,34.0,12.821653744635421,0,9.766388218897323,2.5962629893664375,2.5279264233746543,147.8,13,0.1987179487179487,0.19105590062111802,0.11612106238418778,0.4509216435738175,0.1567057477838147,0.25,0.19540229885057472,0.20297029702970298,0.1263917631565445,Antonio Gates,TE,FA
46,00-0021547,2017,30,52,316.0,3,432.0,66.0,16.0,3.9855019495361446,0,11.184118223177343,1.414265720626398,1.3819571525246555,79.6,16,0.08919382504288165,0.09037656903765691,0.030697674418604652,0.206091992794448,0.06943528894748408,0.10714285714285714,0.07272727272727272,0.07661290322580645,0.053833252177676774,Antonio Gates,TE,FA
47,00-0021547,2018,28,45,333.0,2,356.0,126.0,19.0,4.63839070640941,2,14.265516137973766,1.3836443374830376,1.4001950498091353,75.3,15,0.09259259259259259,0.09697630073549442,0.061855670103092786,0.21646992947728444,0.08145792563600783,0.06666666666666667,0.09405940594059406,0.09051724137931035,0.05148295524469787,Antonio Gates,TE,FA
59,00-0022127,2014,64,90,703.0,5,831.0,229.0,48.0,39.420553918528896,0,14.821330306302023,3.110597428023678,3.3267790342910084,164.3,16,0.18907563025210083,0.1943859649122807,0.1281477336317851,0.43912221730797585,0.1753992015968064,0.13513513513513514,0.23414634146341465,0.2190082644628099,0.10637609095382385,Jason Witten,TE,FA
60,00-0022127,2015,77,104,713.0,3,727.0,230.0,36.0,-2.552544341866171,0,15.39585290869259,3.27505029764093,3.08732647866337,164.3,16,0.19696969696969696,0.17937330372563534,0.13001695873374788,0.4389531884350537,0.1939080772368779,0.1875,0.2057142857142857,0.20418848167539266,0.13739985616083228,Jason Witten,TE,FA
61,00-0022127,2016,69,95,673.0,3,596.0,273.0,33.0,22.518397182480502,0,20.013030179142362,3.028307218998574,2.547235304420838,152.3,15,0.20430107526881722,0.1599141400590287,0.17256637168141592,0.4343829249504488,0.18387978142076503,0.125,0.1783783783783784,0.1722488038277512,0.10855310049893087,Jason Witten,TE,FA
62,00-0022127,2017,63,87,560.0,5,602.0,105.0,26.0,17.28372098795307,0,15.018944977623956,2.856391884118982,2.5094826845962777,147.0,16,0.17647058823529413,0.15267562769464874,0.07697947214076246,0.38684638450866016,0.1683704149128082,0.22727272727272727,0.16049382716049382,0.16847826086956522,0.11432215516705033,Jason Witten,TE,FA
63,00-0022127,2019,63,83,529.0,4,546.0,162.0,27.0,19.241698911857018,1,19.91025385896278,2.3545168408906076,1.7885913924141652,139.9,16,0.1390284757118928,0.09727418492784608,0.08617021276595745,0.28636206151011606,0.10791513667890656,0.13333333333333333,0.11790393013100436,0.11969111969111969,0.0838940260737116,Jason Witten,TE,FA
64,00-0022127,2020,13,17,69.0,2,91.0,20.0,8.0,2.4071779592057236,0,7.333333333333333,0.5612074926379758,0.384409805839928,31.9,10,0.05029585798816568,0.03298296484233418,0.014803849000740192,0.10183015885611586,0.025246981339187707,0.09523809523809523,0.061068702290076333,0.06578947368421052,0.03230314322747894,Jason Witten,TE,FA
115,00-0022943,2014,20,31,136.0,2,134.0,78.0,9.0,2.0016348412431615,0,14.862212073882555,0.7234880100979172,0.36748075166272287,45.6,14,0.052901023890784986,0.029639460296394603,0.0392156862745098,0.10306310407329317,0.031007751937984496,0.06896551724137931,0.04,0.04330708661417323,0.030706243602865918,Ben Watson,TE,FA
116,00-0022943,2015,74,110,825.0,6,985.0,241.0,42.0,43.24931134349788,0,14.777495712093284,2.625435199210836,3.111001127817715,190.5,16,0.16491754122938532,0.1891321044546851,0.09506903353057199,0.39868199540782606,0.1585014409221902,0.1875,0.1700404858299595,0.17204301075268819,0.11012833853624697,Ben Watson,TE,FA
117,00-0022943,2017,61,79,522.0,4,416.0,263.0,30.0,12.207220605075356,0,29.810456072901523,2.160798393215037,1.6909504737209957,137.2,16,0.13932980599647266,0.10827693909422176,0.17463479415670652,0.29561626027008636,0.16136012364760433,0.2,0.17857142857142858,0.18085106382978725,0.10824457593688362,Ben Watson,TE,FA
118,00-0022943,2018,35,46,400.0,2,470.0,87.0,21.0,20.636010659122654,0,14.016095263839011,1.4251722462292564,1.9368988887366059,87.0,13,0.10574712643678161,0.14835858585858586,0.05386996904024768,0.27730755834204107,0.11396011396011396,0.07407407407407407,0.1206896551724138,0.11442786069651742,0.0633879781420765,Ben Watson,TE,FA
119,00-0022943,2019,17,24,173.0,0,214.0,83.0,9.0,10.201868154256768,0,9.383070456113934,0.6258784225773292,0.7629468006113211,34.3,9,0.0670391061452514,0.07762060210373595,0.08081791626095423,0.16265514090086586,0.07737030411449015,0.0,0.08411214953271028,0.075,0.04397774187758032,Ben Watson,TE,FA
149,00-0023465,2014,66,91,761.0,3,666.0,325.0,42.0,36.65592876950298,1,24.322891206774404,2.4222964719998243,2.247505902463452,160.10000000000002,16,0.14869281045751634,0.12734225621414913,0.14241893076248904,0.3249130206575938,0.15229137482489494,0.09090909090909091,0.1728395061728395,0.16304347826086957,0.09613421561445437,Heath Miller,TE,FA
150,00-0023465,2015,60,81,535.0,2,465.0,212.0,29.0,18.903101934050884,1,16.751226503391,2.1317579472522357,1.2375356679911598,127.7,15,0.147005444646098,0.08635097493036212,0.11648351648351649,0.2895889469134367,0.12000897263346792,0.09090909090909091,0.1518324607329843,0.14553990610328638,0.08839083005703527,Heath Miller,TE,FA
198,00-0023894,2014,1,1,3.0,1,3.0,0.0,1.0,2.3520554127171636,0,1.0,0.03571428571428571,0.012605042016806723,7.3,1,0.03571428571428571,0.012605042016806723,0.0,0.06365546218487395,0.011811023622047244,0.3333333333333333,0.07692307692307693,0.125,0.07599417031022278,Wesley Walls,TE,CAR
199,00-0023894,2015,1,1,3.0,0,-7.0,10.0,0.0,-0.3880854630842805,0,0.0,0.02564102564102564,-0.026217228464419477,1.3,1,0.02564102564102564,-0.026217228464419477,0.06944444444444445,0.017487755690002882,0.012048192771084338,0.0,0.0,0.0,0.01772082878953108,Wesley Walls,TE,CAR
200,00-0023894,2016,1,1,1.0,1,1.0,0.0,1.0,0.6223106484976597,0,1.0,0.017241379310344827,0.002074688796680498,7.1,1,0.01694915254237288,0.002074688796680498,0.0,0.027083479850903723,0.001949317738791423,0.25,0.05263157894736842,0.08695652173913043,0.04366006641249538,Wesley Walls,TE,CAR
210,00-0024221,2014,26,50,245.0,2,593.0,49.0,11.0,-6.464620717713842,0,7.340120266183753,1.6552775238386381,2.0357843755809557,62.9,13,0.12531328320802004,0.14832416208104052,0.04257167680278019,0.3066292544768625,0.08605549701440113,0.11764705882352941,0.08208955223880597,0.08609271523178808,0.06556317621797411,Vernon Davis,TE,FA
211,00-0024221,2015,38,58,395.0,0,559.0,143.0,21.0,0.29548897786537576,0,8.43231586224269,1.721044615198724,2.2660822635623905,77.5,13,0.1280353200883002,0.1424929900586286,0.1062407132243685,0.3060473721793532,0.13412563667232597,0.0,0.1510791366906475,0.13725490196078433,0.07968332305161423,Vernon Davis,TE,FA
212,00-0024221,2016,44,59,583.0,2,525.0,238.0,22.0,11.454887324494736,0,16.554730358277975,1.5292994974796381,1.548992827968985,114.30000000000001,15,0.10332749562171628,0.10552763819095477,0.12934782608695652,0.23941335398533825,0.12616316814542308,0.08695652173913043,0.10328638497652583,0.1016949152542373,0.0766836180176312,Vernon Davis,TE,FA
213,00-0024221,2017,43,69,648.0,3,746.0,306.0,23.0,10.620744476965948,0,14.939461181002684,2.1144413644413644,2.7452970798538026,121.8,16,0.12777777777777777,0.17962918372261016,0.14299065420560747,0.3353700136447548,0.1583190813584168,0.1111111111111111,0.12041884816753927,0.11926605504587157,0.090167453842851,Vernon Davis,TE,FA
214,00-0024221,2018,25,36,367.0,2,416.0,168.0,16.0,17.92919980105944,1,28.889285540010178,1.1325093547786955,1.5220258292168405,75.7,13,0.08314087759815242,0.12307692307692308,0.1253731343283582,0.2231728548587671,0.1284114765570329,0.14285714285714285,0.12030075187969924,0.12244897959183673,0.07529940715394104,Vernon Davis,TE,FA
